timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1725178683875,436,PostReqres,201,Created,Konfigurasi beban 1-50,text,true,,934,223,60,60,https://reqres.in/api/users,436,0,0
1725178683905,406,DeleteReqres,204,No Content,Konfigurasi beban 1-27,,true,,804,176,60,60,https://reqres.in/api/users/2,0,0,0
1725178684192,119,GetReqres,200,OK,Konfigurasi beban 1-76,text,true,,1937,159,60,60,https://reqres.in/api/users?page=2,119,0,46
1725178683913,398,PostReqres,201,Created,Konfigurasi beban 1-53,text,true,,932,223,60,60,https://reqres.in/api/users,398,0,0
1725178683905,407,DeleteReqres,204,No Content,Konfigurasi beban 1-26,,true,,804,176,59,59,https://reqres.in/api/users/2,0,0,0
1725178683900,412,PostReqres,201,Created,Konfigurasi beban 1-51,text,true,,934,223,59,59,https://reqres.in/api/users,412,0,0
1725178683749,563,PostReqres,201,Created,Konfigurasi beban 1-40,text,true,,934,223,59,59,https://reqres.in/api/users,563,0,0
1725178683749,563,PostReqres,201,Created,Konfigurasi beban 1-39,text,true,,934,223,59,59,https://reqres.in/api/users,563,0,0
1725178684210,130,GetReqres,200,OK,Konfigurasi beban 1-77,text,true,,1933,159,60,60,https://reqres.in/api/users?page=2,130,0,103
1725178684268,89,GetReqres,200,OK,Konfigurasi beban 1-81,text,true,,1937,159,61,61,https://reqres.in/api/users?page=2,89,0,64
1725178683844,518,PostReqres,201,Created,Konfigurasi beban 1-48,text,true,,934,223,62,62,https://reqres.in/api/users,518,0,0
1725178684283,79,GetReqres,200,OK,Konfigurasi beban 1-82,text,true,,1937,159,62,62,https://reqres.in/api/users?page=2,79,0,51
1725178684238,124,GetReqres,200,OK,Konfigurasi beban 1-79,text,true,,1940,159,62,62,https://reqres.in/api/users?page=2,124,0,96
1725178684253,142,GetReqres,200,OK,Konfigurasi beban 1-80,text,true,,1929,159,64,64,https://reqres.in/api/users?page=2,142,0,81
1725178684003,410,DeleteReqres,204,No Content,Konfigurasi beban 1-29,,true,,804,176,65,65,https://reqres.in/api/users/2,0,0,0
1725178684224,189,GetReqres,200,OK,Konfigurasi beban 1-78,text,true,,1941,159,65,65,https://reqres.in/api/users?page=2,171,0,110
1725178684297,117,GetReqres,200,OK,Konfigurasi beban 1-83,text,true,,1941,159,65,65,https://reqres.in/api/users?page=2,117,0,46
1725178684003,411,DeleteReqres,204,No Content,Konfigurasi beban 1-31,,true,,804,176,65,65,https://reqres.in/api/users/2,0,0,0
1725178684003,411,PostReqres,201,Created,Konfigurasi beban 1-54,text,true,,934,223,65,65,https://reqres.in/api/users,411,0,0
1725178683863,551,PostReqres,201,Created,Konfigurasi beban 1-49,text,true,,934,223,63,63,https://reqres.in/api/users,551,0,0
1725178684313,101,GetReqres,200,OK,Konfigurasi beban 1-84,text,true,,1941,159,63,63,https://reqres.in/api/users?page=2,101,0,42
1725178684034,380,PostReqres,201,Created,Konfigurasi beban 1-56,text,true,,934,223,63,63,https://reqres.in/api/users,380,0,0
1725178684004,410,PostReqres,201,Created,Konfigurasi beban 1-55,text,true,,934,223,63,63,https://reqres.in/api/users,410,0,0
1725178683898,523,PostReqres,201,Created,Konfigurasi beban 1-52,text,true,,934,223,64,64,https://reqres.in/api/users,523,0,0
1725178684055,368,PostReqres,201,Created,Konfigurasi beban 1-59,text,true,,934,223,64,64,https://reqres.in/api/users,368,0,0
1725178684055,371,PostReqres,201,Created,Konfigurasi beban 1-60,text,true,,934,223,64,64,https://reqres.in/api/users,371,0,0
1725178684064,367,DeleteReqres,204,No Content,Konfigurasi beban 1-34,,true,,804,176,64,64,https://reqres.in/api/users/2,0,0,0
1725178684064,372,PostReqres,201,Created,Konfigurasi beban 1-57,text,true,,933,223,64,64,https://reqres.in/api/users,372,0,0
1725178684057,381,PostReqres,201,Created,Konfigurasi beban 1-62,text,true,,934,223,64,64,https://reqres.in/api/users,381,0,0
1725178683904,535,DeleteReqres,204,No Content,Konfigurasi beban 1-25,,true,,804,176,64,64,https://reqres.in/api/users/2,0,0,0
1725178684344,101,GetReqres,200,OK,Konfigurasi beban 1-86,text,true,,1941,159,63,63,https://reqres.in/api/users?page=2,101,0,71
1725178684071,374,PostReqres,201,Created,Konfigurasi beban 1-58,text,true,,934,223,63,63,https://reqres.in/api/users,374,0,0
1725178684328,119,GetReqres,200,OK,Konfigurasi beban 1-85,text,true,,1941,159,63,63,https://reqres.in/api/users?page=2,119,0,87
1725178683923,526,DeleteReqres,204,No Content,Konfigurasi beban 1-28,,true,,804,176,64,64,https://reqres.in/api/users/2,0,0,0
1725178684078,375,PostReqres,201,Created,Konfigurasi beban 1-64,text,true,,934,223,63,63,https://reqres.in/api/users,375,0,0
1725178684087,377,PostReqres,201,Created,Konfigurasi beban 1-63,text,true,,934,223,64,64,https://reqres.in/api/users,377,0,0
1725178684374,97,GetReqres,200,OK,Konfigurasi beban 1-88,text,true,,1937,159,64,64,https://reqres.in/api/users?page=2,97,0,64
1725178684358,113,GetReqres,200,OK,Konfigurasi beban 1-87,text,true,,1929,159,64,64,https://reqres.in/api/users?page=2,113,0,80
1725178684103,371,DeleteReqres,204,No Content,Konfigurasi beban 1-35,,true,,804,176,64,64,https://reqres.in/api/users/2,0,0,0
1725178684090,385,PostReqres,201,Created,Konfigurasi beban 1-65,text,true,,934,223,63,63,https://reqres.in/api/users,385,0,0
1725178684403,72,GetReqres,200,OK,Konfigurasi beban 1-90,text,true,,1933,159,63,63,https://reqres.in/api/users?page=2,72,0,43
1725178684388,89,GetReqres,200,OK,Konfigurasi beban 1-89,text,true,,1933,159,64,64,https://reqres.in/api/users?page=2,89,0,57
1725178684418,75,GetReqres,200,OK,Konfigurasi beban 1-91,text,true,,1937,159,65,65,https://reqres.in/api/users?page=2,75,0,44
1725178684432,69,GetReqres,200,OK,Konfigurasi beban 1-92,text,true,,1941,159,65,65,https://reqres.in/api/users?page=2,69,0,42
1725178684003,504,DeleteReqres,204,No Content,Konfigurasi beban 1-33,,true,,804,176,65,65,https://reqres.in/api/users/2,0,0,0
1725178684119,388,PostReqres,201,Created,Konfigurasi beban 1-66,text,true,,934,223,65,65,https://reqres.in/api/users,388,0,0
1725178684448,65,GetReqres,200,OK,Konfigurasi beban 1-93,text,true,,1941,159,65,65,https://reqres.in/api/users?page=2,65,0,37
1725178684150,373,DeleteReqres,204,No Content,Konfigurasi beban 1-41,,true,,804,176,65,65,https://reqres.in/api/users/2,0,0,0
1725178684136,393,DeleteReqres,204,No Content,Konfigurasi beban 1-36,,true,,804,176,65,65,https://reqres.in/api/users/2,0,0,0
1725178684003,530,DeleteReqres,204,No Content,Konfigurasi beban 1-32,,true,,804,176,64,64,https://reqres.in/api/users/2,0,0,0
1725178684003,530,DeleteReqres,204,No Content,Konfigurasi beban 1-21,,true,,804,176,64,64,https://reqres.in/api/users/2,0,0,0
1725178684462,71,GetReqres,200,OK,Konfigurasi beban 1-94,text,true,,1932,159,64,64,https://reqres.in/api/users?page=2,71,0,38
1725178684167,452,DeleteReqres,204,No Content,Konfigurasi beban 1-38,,true,,804,176,68,68,https://reqres.in/api/users/2,0,0,0
1725178684178,441,PostReqres,201,Created,Konfigurasi beban 1-70,text,true,,934,223,68,68,https://reqres.in/api/users,441,0,0
1725178684164,456,DeleteReqres,204,No Content,Konfigurasi beban 1-37,,true,,804,176,68,68,https://reqres.in/api/users/2,0,0,0
1725178684477,142,GetReqres,200,OK,Konfigurasi beban 1-95,text,true,,1941,159,68,68,https://reqres.in/api/users?page=2,142,0,43
1725178684192,428,PostReqres,201,Created,Konfigurasi beban 1-71,text,true,,934,223,68,68,https://reqres.in/api/users,428,0,0
1725178684191,429,DeleteReqres,204,No Content,Konfigurasi beban 1-43,,true,,804,176,68,68,https://reqres.in/api/users/2,0,0,0
1725178684201,419,DeleteReqres,204,No Content,Konfigurasi beban 1-44,,true,,804,176,65,65,https://reqres.in/api/users/2,0,0,0
1725178684213,407,DeleteReqres,204,No Content,Konfigurasi beban 1-47,,true,,804,176,65,65,https://reqres.in/api/users/2,0,0,0
1725178684492,128,GetReqres,200,OK,Konfigurasi beban 1-96,text,true,,1940,159,65,65,https://reqres.in/api/users?page=2,128,0,43
1725178684055,565,PostReqres,201,Created,Konfigurasi beban 1-61,text,true,,934,223,64,64,https://reqres.in/api/users,565,0,0
1725178684209,411,DeleteReqres,204,No Content,Konfigurasi beban 1-45,,true,,804,176,63,63,https://reqres.in/api/users/2,0,0,0
1725178684226,398,PostReqres,201,Created,Konfigurasi beban 1-73,text,true,,934,223,62,62,https://reqres.in/api/users,398,0,0
1725178684236,388,DeleteReqres,204,No Content,Konfigurasi beban 1-46,,true,,804,176,62,62,https://reqres.in/api/users/2,0,0,0
1725178684216,408,PostReqres,201,Created,Konfigurasi beban 1-72,text,true,,934,223,62,62,https://reqres.in/api/users,408,0,0
1725178684110,526,DeleteReqres,204,No Content,Konfigurasi beban 1-30,,true,,804,176,62,62,https://reqres.in/api/users/2,0,0,0
1725178684130,513,PostReqres,201,Created,Konfigurasi beban 1-67,text,true,,934,223,62,62,https://reqres.in/api/users,513,0,0
1725178684510,138,GetReqres,200,OK,Konfigurasi beban 1-97,text,true,,1932,159,62,62,https://reqres.in/api/users?page=2,138,0,112
1725178684537,127,GetReqres,200,OK,Konfigurasi beban 1-99,text,true,,1933,159,63,63,https://reqres.in/api/users?page=2,127,0,103
1725178684552,117,GetReqres,200,OK,Konfigurasi beban 1-100,text,true,,1937,159,63,63,https://reqres.in/api/users?page=2,117,0,90
1725178684567,102,GetReqres,200,OK,Konfigurasi beban 1-101,text,true,,1937,159,63,63,https://reqres.in/api/users?page=2,102,0,75
1725178684524,145,GetReqres,200,OK,Konfigurasi beban 1-98,text,true,,1933,159,63,63,https://reqres.in/api/users?page=2,145,0,119
1725178684141,530,PostReqres,201,Created,Konfigurasi beban 1-68,text,true,,934,223,63,63,https://reqres.in/api/users,530,0,0
